PAIR_CODE,FREQUENCY,OCCURRED_AT,OPEN_BID,OPEN_ASK,HIGH_BID,HIGH_ASK,LOW_BID,LOW_ASK,CLOSE_BID,CLOSE_ASK,TOTAL_TICKS
EURUSD,m1,2018-09-03 09:05:00 UTC,1.15968,1.15971,1.15973,1.15975,1.15967,1.15969,1.15971,1.15973,54
EURUSD,m1,2018-09-03 09:06:00 UTC,1.15971,1.15973,1.15973,1.15975,1.15964,1.15966,1.15965,1.15967,85
EURUSD,m1,2018-09-03 09:07:00 UTC,1.15965,1.15967,1.15966,1.15968,1.15958,1.15961,1.15962,1.15964,56
EURUSD,m1,2018-09-03 09:08:00 UTC,1.15962,1.15964,1.1597,1.15972,1.1596,1.15963,1.15966,1.15967,76
EURUSD,m1,2018-09-03 09:09:00 UTC,1.15966,1.15967,1.15972,1.15974,1.15965,1.15966,1.15969,1.15971,30
EURUSD,m1,2018-09-03 09:10:00 UTC,1.15969,1.15971,1.15976,1.15978,1.15964,1.15965,1.15974,1.15976,101
EURUSD,m1,2018-09-03 09:11:00 UTC,1.15974,1.15976,1.15994,1.15996,1.15974,1.15976,1.15993,1.15994,126
EURUSD,m1,2018-09-03 09:12:00 UTC,1.15993,1.15994,1.15993,1.15995,1.15983,1.15984,1.15988,1.1599,74
EURUSD,m1,2018-09-03 09:13:00 UTC,1.15988,1.1599,1.15989,1.15991,1.15984,1.15986,1.15988,1.1599,33
EURUSD,m1,2018-09-03 09:14:00 UTC,1.15988,1.1599,1.15988,1.1599,1.15979,1.1598,1.15979,1.1598,51
EURUSD,m1,2018-09-03 09:15:00 UTC,1.15979,1.1598,1.15979,1.1598,1.15973,1.15974,1.15974,1.15975,20
